split,scenario,phase,method,horizon,n,nwis,wis_kw,mae_kw,coverage50,coverage80,coverage90,width90_kw,events
calibration,irradiance_first,outage,recovery,1,49,0.07161072069247827,19.38502209145387,33.0651565261377,0.6326530612244898,0.8979591836734694,0.9795918367346939,184.79530613808433,6
calibration,irradiance_first,outage,recovery,2,44,0.07519852296006767,20.356240165290316,32.395799258359666,0.7272727272727273,0.8636363636363636,0.9090909090909091,157.60063236669885,6
calibration,irradiance_first,outage,recovery,3,39,0.07849102318658614,21.247519976608867,40.58353356481725,0.5897435897435898,0.7435897435897436,0.9487179487179487,136.97969934180873,6
calibration,irradiance_first,outage,recovery,4,33,0.09744966303071989,26.379623782415877,74.17516464646465,0.3939393939393939,0.5757575757575758,0.7575757575757576,109.06420100867128,6
calibration,irradiance_first,outage,rolling,1,49,0.07161072069247827,19.38502209145387,33.0651565261377,0.6326530612244898,0.8979591836734694,0.9795918367346939,184.79530613808433,6
calibration,irradiance_first,outage,rolling,2,44,0.07519852296006767,20.356240165290316,32.395799258359666,0.7272727272727273,0.8636363636363636,0.9090909090909091,157.60063236669885,6
calibration,irradiance_first,outage,rolling,3,39,0.07849102318658614,21.247519976608867,40.58353356481725,0.5897435897435898,0.7435897435897436,0.9487179487179487,136.97969934180873,6
calibration,irradiance_first,outage,rolling,4,33,0.09922366035448416,26.859844857958862,74.17516464646465,0.3939393939393939,0.45454545454545453,0.6666666666666666,105.58247048251434,6
calibration,irradiance_first,partial_restoration,context,1,2,0.02043520695670823,5.531810523180917,4.390924585304894,1.0,1.0,1.0,97.70882191656867,1
calibration,irradiance_first,partial_restoration,context,2,1,0.01584255680931461,4.288580128281464,2.7832417522219077,1.0,1.0,1.0,73.7416691032438,1
calibration,irradiance_first,partial_restoration,persistence,1,2,0.05251015444966313,14.21449880952381,26.51334166666667,0.0,0.5,1.0,82.25216666666667,1
calibration,irradiance_first,partial_restoration,persistence,2,1,0.06238976814959453,16.88891023809524,34.046350000000004,0.0,1.0,1.0,104.54471666666666,1
calibration,irradiance_first,partial_restoration,quantile_raw,1,2,0.02043520695670823,5.531810523180917,4.390924585304894,1.0,1.0,1.0,97.70882191656867,1
calibration,irradiance_first,partial_restoration,quantile_raw,2,1,0.01584255680931461,4.288580128281464,2.7832417522219077,1.0,1.0,1.0,73.7416691032438,1
calibration,irradiance_first,partial_restoration,recovery,1,2,0.02043520695670823,5.531810523180917,4.390924585304894,1.0,1.0,1.0,97.70882191656867,1
calibration,irradiance_first,partial_restoration,recovery,2,1,0.01584255680931461,4.288580128281464,2.7832417522219077,1.0,1.0,1.0,73.7416691032438,1
calibration,irradiance_first,partial_restoration,rolling,1,2,0.02043520695670823,5.531810523180917,4.390924585304894,1.0,1.0,1.0,97.70882191656867,1
calibration,irradiance_first,partial_restoration,rolling,2,1,0.01584255680931461,4.288580128281464,2.7832417522219077,1.0,1.0,1.0,73.7416691032438,1
calibration,irradiance_first,recovery,context,1,86,0.08842110636646243,23.935593493401377,70.55278090140939,0.5697674418604651,0.8604651162790697,0.9883720930232558,137.40804312296194,6
