site,case_id,case_group,method,horizon,n,nwis,nmae,coverage50,coverage80,coverage90,nwidth90,events,days,population,endpoint
reserve10,clean,primary,physical,3,3959,0.0580598918739499,0.10293251575327553,0.5049254862338974,0.8123263450366254,0.908057590300581,0.4346881664855464,0,325,recorded_ac,all
reserve10,clean,primary,physical,4,3959,0.06114962377131079,0.11060764603197361,0.5039151300833544,0.8110633998484466,0.9060368779994948,0.4423769793320328,0,325,recorded_ac,all
reserve10,clean,primary,physical_availability,1,3959,0.03882274649094967,0.0638454784439916,0.5034099520080828,0.8077797423591816,0.9070472341500379,0.30849169747578925,0,326,recorded_ac,all
reserve10,clean,primary,physical_availability,2,3959,0.052112158092472466,0.08984076565607398,0.5099772669866128,0.8108108108108109,0.9083101793382167,0.40673257614298336,0,325,recorded_ac,all
reserve10,clean,primary,physical_availability,3,3959,0.058062009794547856,0.10293251575327553,0.5051780752715332,0.8095478656226319,0.9067946451124022,0.43447494219880906,0,325,recorded_ac,all
reserve10,clean,primary,physical_availability,4,3959,0.06114715472235957,0.11060764603197361,0.5008840616317252,0.8082849204344531,0.9060368779994948,0.4420121143296032,0,325,recorded_ac,all
reserve10,clean,primary,physical_recovery,1,3959,0.03882256001282562,0.0638454784439916,0.5034099520080828,0.8085375094720889,0.9075524122253095,0.30871598265618255,0,326,recorded_ac,all
reserve10,clean,primary,physical_recovery,2,3959,0.05211556231694656,0.08984076565607398,0.509724677948977,0.8118211669613539,0.9095731245263956,0.4066309124837719,0,325,recorded_ac,all
reserve10,clean,primary,physical_recovery,3,3959,0.0580653149770915,0.10293251575327553,0.5046728971962616,0.8110633998484466,0.9070472341500379,0.4343938549961594,0,325,recorded_ac,all
reserve10,clean,primary,physical_recovery,4,3959,0.06114680944438834,0.11060764603197361,0.5001262945188178,0.8085375094720889,0.905784288961859,0.4420275411649028,0,325,recorded_ac,all
reserve10,clean,primary,previous_day,1,3959,0.10109003444500297,0.15702112509175145,0.4839605961101288,0.7779742359181612,0.8777469057842889,0.6562651621509797,0,326,recorded_ac,all
reserve10,clean,primary,previous_day,2,3959,0.10143702157451114,0.15842476707325231,0.4922960343521091,0.7847941399343269,0.8827986865370043,0.673305479169636,0,325,recorded_ac,all
reserve10,clean,primary,previous_day,3,3959,0.10172901997397807,0.15942717353543462,0.49431674665319525,0.7918666329881283,0.893912604192978,0.6922869288415332,0,325,recorded_ac,all
reserve10,clean,primary,previous_day,4,3959,0.10235468527069501,0.16041557552968522,0.49355897954028793,0.7959080575903006,0.8949229603435211,0.7027287262954208,0,325,recorded_ac,all
reserve10,clean,primary,raw,1,3959,0.0391329878937853,0.0638454784439916,0.4175296792119222,0.7062389492296034,0.8557716595099772,0.29068990723397514,0,326,recorded_ac,all
reserve10,clean,primary,raw,2,3959,0.052773212539999635,0.08984076565607398,0.39151300833543823,0.6870421823692852,0.8259661530689568,0.38093148205815713,0,325,recorded_ac,all
reserve10,clean,primary,raw,3,3959,0.058903601375688355,0.10293251575327553,0.3771154331901995,0.6744127304874968,0.8221773175044204,0.4011768458044131,0,325,recorded_ac,all
reserve10,clean,primary,raw,4,3959,0.061974499526640525,0.11060764603197361,0.37686284415256377,0.6686031826218742,0.8188936600151553,0.4064028513875382,0,325,recorded_ac,all
reserve10,clean,primary,recency,1,3959,0.03893602149254597,0.0638454784439916,0.5064410204597121,0.8037383177570093,0.9050265218489517,0.3048413664979119,0,326,recorded_ac,all
reserve10,clean,primary,recency,2,3959,0.05229195956741179,0.08984076565607398,0.5122505683253347,0.8042434958322808,0.9012376862844153,0.4023854691855835,0,325,recorded_ac,all
reserve10,clean,primary,recency,3,3959,0.05823573988324462,0.10293251575327553,0.5069461985349836,0.8027279616064663,0.9025006314725941,0.4309040541930668,0,325,recorded_ac,all
reserve10,clean,primary,recency,4,3959,0.061329346557314916,0.11060764603197361,0.5001262945188178,0.8012124273806517,0.8984592068704218,0.438711451161106,0,325,recorded_ac,all
reserve10,clean,primary,rolling,1,3959,0.03895127191379529,0.0638454784439916,0.5051780752715332,0.8024753725688305,0.9072998231876737,0.30416435113588575,0,326,recorded_ac,all
reserve10,clean,primary,rolling,2,3959,0.0523063246831997,0.08984076565607398,0.5117453902500632,0.8017176054559232,0.9007325082091437,0.40219892318555456,0,325,recorded_ac,all
reserve10,clean,primary,rolling,3,3959,0.05825450100407028,0.10293251575327553,0.5082091437231624,0.798686537004294,0.9022480424349584,0.43110632513359537,0,325,recorded_ac,all
reserve10,clean,primary,rolling,4,3959,0.06133297622550268,0.11060764603197361,0.5008840616317252,0.8007072493053802,0.8997221520586006,0.43839421098240006,0,325,recorded_ac,all
reserve10,clean,primary,single_imputation,1,3959,0.04518217050641428,0.06804648515116346,0.6322303612023238,0.81384187926244,0.8681485223541299,0.25836896287963285,0,326,recorded_ac,all
reserve10,clean,primary,single_imputation,2,3959,0.06027801908528925,0.09427667833908909,0.5524122253094216,0.7645870169234655,0.8358171255367517,0.3122924176002212,0,325,recorded_ac,all
reserve10,clean,primary,single_imputation,3,3959,0.06708419437686305,0.10460439355107913,0.5339732255620107,0.7438747158373327,0.8199040161656984,0.33207292528542437,0,325,recorded_ac,all
reserve10,clean,primary,single_imputation,4,3959,0.07149847552438125,0.11147314238912574,0.5221015407931295,0.7302349078050012,0.8075271533215459,0.3448972026441972,0,325,recorded_ac,all
